Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2)
2018,10,1,00:00,UTC,0.1,-3.8,337.1,351
2018,10,1,01:00,UTC,0.4,-3.7,304.1,351.3
2018,10,1,02:00,UTC,0.3,-4.4,293.1,348.8
2018,10,1,03:00,UTC,0.7,-5.9,277,343.5
2018,10,1,04:00,UTC,0.5,-5,277.5,340.9
2018,10,1,05:00,UTC,22,24.3,273.8,341.3
2018,10,1,06:00,UTC,64.1,125.1,283,352.9
2018,10,1,07:00,UTC,53.9,257.5,281,366.8
2018,10,1,08:00,UTC,90.6,324.4,289.2,377.9
2018,10,1,09:00,UTC,123.4,378.7,298.6,392.4
2018,10,1,10:00,UTC,180.1,266.9,309.7,389.6
2018,10,1,11:00,UTC,259.4,460.6,324.7,396.9
2018,10,1,12:00,UTC,192.9,262.7,317.6,396.8
2018,10,1,13:00,UTC,120.2,372.2,323,398.4
2018,10,1,14:00,UTC,55.5,200.7,292.6,384.3
2018,10,1,15:00,UTC,45.1,37.5,308,372
2018,10,1,16:00,UTC,3.4,-4.2,303.2,362.5
2018,10,1,17:00,UTC,0.8,-5.5,300.9,359.2
2018,10,1,18:00,UTC,0.1,-5,301.4,355.9
2018,10,1,19:00,UTC,0.1,-4.3,330.2,356.8
2018,10,1,20:00,UTC,0.5,-6.2,302.4,353
2018,10,1,21:00,UTC,0.2,-6,309,350.3
2018,10,1,22:00,UTC,0.4,-5.8,311.6,350.2
2018,10,1,23:00,UTC,0.5,-5.1,337.5,352.1
2018,10,2,00:00,UTC,0.3,-4.3,333.1,352
2018,10,2,01:00,UTC,0.3,-4.5,326.4,350
2018,10,2,02:00,UTC,0.5,-5.9,310.4,347.2
2018,10,2,03:00,UTC,1.1,-6.1,297.1,345.2
2018,10,2,04:00,UTC,0.7,-5.1,301.6,342.5
2018,10,2,05:00,UTC,22.6,18,296.6,343.8
2018,10,2,06:00,UTC,27.2,27,339.9,349.6
2018,10,2,07:00,UTC,119.7,116.3,330,353.6
