Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hiilimonoksidi (ug/m3),Typpidioksidi (ug/m3),Typpimonoksidi (ug/m3),Otsoni (ug/m3),Hengitettävät hiukkaset (ug/m3),Pienhiukkaset (ug/m3),Rikkidioksidi (ug/m3),Haisevat rikkiyhdisteet (ugS/m3)
2018,1,1,00:00,UTC,161.2,1.3,0.1,67,0,,0.1,
2018,1,1,01:00,UTC,161.9,1.2,0.1,66.4,0,,0.1,
2018,1,1,02:00,UTC,162.6,1.2,0.1,66.3,0,,0.1,
2018,1,1,03:00,UTC,168.7,1.5,0.1,61.4,0.8,,0.2,
2018,1,1,04:00,UTC,180.7,2.1,0.1,56,7,,0.1,
2018,1,1,05:00,UTC,182.7,2.2,0.1,55.6,2.5,,0.2,
2018,1,1,06:00,UTC,180,2,0.1,57.2,5.1,,0.1,
2018,1,1,07:00,UTC,176.6,1.9,0.1,58.6,6.8,,0.1,
2018,1,1,08:00,UTC,176.7,1.9,0.1,60.5,4.1,,0.1,
2018,1,1,09:00,UTC,176.6,1.8,0.1,60.7,0,,0.1,
2018,1,1,10:00,UTC,171.3,1.7,0.1,62.1,0,,0.1,
2018,1,1,11:00,UTC,170.6,1.7,0.1,62.5,16.5,,0.2,
2018,1,1,12:00,UTC,171.7,1.8,0.1,62.3,17.9,,0.2,
2018,1,1,13:00,UTC,172.4,1.8,0.1,62.1,14.2,,0.1,
2018,1,1,14:00,UTC,171.7,1.7,0.1,61.9,8,,0.1,
2018,1,1,15:00,UTC,171.3,1.7,0.1,61.9,7.4,,0.1,
2018,1,1,16:00,UTC,171.6,1.7,0.1,61.2,5.3,,0.1,
2018,1,1,17:00,UTC,171.3,1.7,0.1,57.3,0,,0.1,
2018,1,1,18:00,UTC,169.6,1.6,0.1,56,0,,0,
2018,1,1,19:00,UTC,170.1,1.6,0.1,55.7,0.4,,0.1,
2018,1,1,20:00,UTC,169,1.6,0.1,56.5,0.8,,0.1,
2018,1,1,21:00,UTC,169.3,1.6,0.1,57.7,0.1,,0.1,
2018,1,1,22:00,UTC,168.1,1.7,0.1,59.5,4.2,,0.1,
2018,1,1,23:00,UTC,166.1,1.6,0.1,61.2,4.8,,0.1,
2018,1,2,00:00,UTC,165.7,1.5,0.1,61.3,6.1,,0.1,
2018,1,2,01:00,UTC,165.3,1.4,0.1,60.6,1.7,,0.1,
2018,1,2,02:00,UTC,164.8,1.4,0.1,59.2,0.3,,0.1,
2018,1,2,03:00,UTC,164,1.4,0.1,57.8,0.5,,0.1,
2018,1,2,04:00,UTC,163.4,1.3,0.1,56.7,0.5,,0.1,
2018,1,2,05:00,UTC,163,1.2,0.1,56.5,0,,0.1,
