Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hajasäteily (W/m2),Kokonaissäteily (W/m2),Ilmakehän pitkäaaltosäteily (W/m2),Maanpinnan pitkäaaltosäteily (W/m2)
2018,10,1,01:00,UTC,-0.5,0,313.2,325.1
2018,10,1,02:00,UTC,-1.2,-0.6,312,322.7
2018,10,1,03:00,UTC,-0.9,-0.5,310.4,319.9
2018,10,1,04:00,UTC,-0.5,0.2,312,321.8
2018,10,1,05:00,UTC,11.4,12.2,312.5,322.6
2018,10,1,06:00,UTC,45.5,46.3,310.8,324.5
2018,10,1,07:00,UTC,72,72.7,312.2,329.7
2018,10,1,08:00,UTC,83.7,84.4,315,332.2
2018,10,1,09:00,UTC,94.4,95.3,317,335.8
2018,10,1,10:00,UTC,111.2,111.9,315.8,340
2018,10,1,11:00,UTC,90.6,91.4,319.7,340.7
2018,10,1,12:00,UTC,120.1,120.9,312.8,345.3
2018,10,1,13:00,UTC,73.5,74.3,322.8,344.1
2018,10,1,14:00,UTC,30.8,31.2,325.4,341.2
2018,10,1,15:00,UTC,10.8,11.4,312.2,336.6
2018,10,1,16:00,UTC,-0.5,0.3,291.7,329.9
2018,10,1,17:00,UTC,-2,-1.1,304.2,324.8
2018,10,1,18:00,UTC,-2.9,-2,248.9,313.4
2018,10,1,19:00,UTC,-2.5,-1.5,248.8,309.1
2018,10,1,20:00,UTC,-1.7,-0.6,251.9,312.3
2018,10,1,21:00,UTC,-1.6,-0.9,264.7,309.3
2018,10,1,22:00,UTC,-2.8,-1.8,250.5,307.6
2018,10,1,23:00,UTC,-2.3,-1.7,229.9,304.7
2018,10,2,00:00,UTC,-2.3,-1.6,227.8,298.6
2018,10,2,01:00,UTC,-2.2,-1.7,224,295.7
2018,10,2,02:00,UTC,-2,-1,236.9,299.5
2018,10,2,03:00,UTC,-2.4,-1.7,224,293.8
2018,10,2,04:00,UTC,-0.7,-0.1,263.9,300
2018,10,2,05:00,UTC,27.6,28.4,260.5,304.3
2018,10,2,06:00,UTC,69.3,70.8,252.1,308.9
2018,10,2,07:00,UTC,71.8,104.9,227.4,310
2018,10,2,08:00,UTC,118.8,200.7,231.7,316.2
2018,10,2,09:00,UTC,95.6,101.1,229.7,316.9
2018,10,2,10:00,UTC,114.5,233.6,230,323.3
2018,10,2,11:00,UTC,107.2,202.8,233.4,325.7
2018,10,2,12:00,UTC,156.2,192.6,248.3,329.3
2018,10,2,13:00,UTC,80,81.1,301.8,329.5
2018,10,2,14:00,UTC,31.8,32.5,301.1,324.1
2018,10,2,15:00,UTC,13.6,14.4,295.3,320
2018,10,2,16:00,UTC,-0.7,0,298.1,316.3
2018,10,2,17:00,UTC,-1.2,-0.3,297.5,315.3
2018,10,2,18:00,UTC,-1.3,-0.5,288.3,313.1
2018,10,2,19:00,UTC,-1.3,-0.6,292.6,312.6
2018,10,2,20:00,UTC,-1.3,-0.5,287.2,310.8
2018,10,2,21:00,UTC,-2.3,-1.2,221.5,303.1
2018,10,2,22:00,UTC,-2.6,-1.9,209,294.7
2018,10,2,23:00,UTC,-2.4,-1.7,221.2,296
2018,10,3,00:00,UTC,-2.2,-1.6,239.8,292.6
2018,10,3,01:00,UTC,-2,-1.3,206.4,288
2018,10,3,02:00,UTC,-2.5,-1.7,205.3,284.5
2018,10,3,03:00,UTC,-1.8,-1.1,206.6,283
2018,10,3,04:00,UTC,-2,-1.4,212.9,284.7
2018,10,3,05:00,UTC,12.5,19.6,205.3,283.6
2018,10,3,06:00,UTC,36.4,104.9,208.4,294.8
2018,10,3,07:00,UTC,85.6,86.2,281.9,312.2
2018,10,3,08:00,UTC,109,110.2,290.3,316.5
2018,10,3,09:00,UTC,155.5,156.5,287.3,320.9
2018,10,3,10:00,UTC,187.5,189.3,279.2,325.3
2018,10,3,11:00,UTC,123.3,254,224.2,330.3
2018,10,3,12:00,UTC,46.8,262.7,221,329.6
2018,10,3,13:00,UTC,46.4,199.3,225.3,324.5
2018,10,3,14:00,UTC,74.3,154.1,261.2,322.1
2018,10,3,15:00,UTC,14.2,15.2,300.5,321.2
2018,10,3,16:00,UTC,-0.9,-0.3,299.1,318.1
2018,10,3,17:00,UTC,-1.8,-1,276.9,314.6
2018,10,3,18:00,UTC,-3.1,-2.1,223.8,300.3
2018,10,3,19:00,UTC,-2.3,-1.5,224.4,296.8
2018,10,3,20:00,UTC,-2.2,-1.6,223.8,299.7
2018,10,3,21:00,UTC,-2.2,-1.6,223.4,298.3
2018,10,3,22:00,UTC,-1.7,-1,223.3,292.8
2018,10,3,23:00,UTC,-2.6,-1.9,221.8,291.3
2018,10,4,00:00,UTC,-2.7,-2,220,290.4
2018,10,4,01:00,UTC,-1.9,-1.2,221.5,291.6
2018,10,4,02:00,UTC,-2.3,-1.6,220.2,290.8
2018,10,4,03:00,UTC,-2.3,-1.7,218.1,287.6
2018,10,4,04:00,UTC,-1.9,-1.3,215.5,287.5
2018,10,4,05:00,UTC,9.9,16.3,213.7,283.3
2018,10,4,06:00,UTC,28.4,95.2,215.6,295.1
2018,10,4,07:00,UTC,36.1,174.3,218.5,306.4
2018,10,4,08:00,UTC,39.5,245.7,220.9,321.2
2018,10,4,09:00,UTC,41.8,289.7,223.7,332.3
2018,10,4,10:00,UTC,41.9,306.2,225.3,337.4
2018,10,4,11:00,UTC,40.6,292.2,227.1,340.1
2018,10,4,12:00,UTC,37.9,249.5,229.2,335.4
2018,10,4,13:00,UTC,32.9,181.9,229.6,328.4
2018,10,4,14:00,UTC,23.6,99.6,228.6,319.4
2018,10,4,15:00,UTC,9.6,23.3,226,308.6
2018,10,4,16:00,UTC,-2.2,-1.2,222.1,301.1
2018,10,4,17:00,UTC,-2.9,-2.2,220.1,291.8
2018,10,4,18:00,UTC,-2.3,-1.6,220,288.9
2018,10,4,19:00,UTC,-3.3,-2.8,218.7,286.3
2018,10,4,20:00,UTC,-2,-1.2,218.4,285.9
2018,10,4,21:00,UTC,-2.1,-1.4,216,285.4
2018,10,4,22:00,UTC,-2.4,-1.6,216.1,286.2
2018,10,4,23:00,UTC,-2.4,-1.8,216.4,284.2
2018,10,5,00:00,UTC,-2.4,-1.9,224.7,288.3
2018,10,5,01:00,UTC,-1.4,-0.8,258.7,297.5
2018,10,5,02:00,UTC,-1,-0.6,278,301.6
2018,10,5,03:00,UTC,-0.8,-0.4,287,304.2
2018,10,5,04:00,UTC,-1.5,-1.2,262.4,305.3
2018,10,5,05:00,UTC,4.3,4.6,298.6,311.4
2018,10,5,06:00,UTC,39.8,40.3,300.3,314.8
2018,10,5,07:00,UTC,29.2,29.8,304.3,316
2018,10,5,08:00,UTC,45.5,46.3,307.5,316.6
2018,10,5,09:00,UTC,43.6,45.5,308.8,315.8
2018,10,5,10:00,UTC,35.4,37.7,310.5,315.2
2018,10,5,11:00,UTC,46,47.2,311.1,315.2
2018,10,5,12:00,UTC,33.7,35,312.5,315.6
2018,10,5,13:00,UTC,36.2,37.5,312.6,315.5
2018,10,5,14:00,UTC,40.4,41.7,312,315.5
2018,10,5,15:00,UTC,4.4,4.8,312.1,314.5
2018,10,5,16:00,UTC,-1.2,-0.6,310.5,313.3
2018,10,5,17:00,UTC,-0.5,0.3,308.9,313.3
2018,10,5,18:00,UTC,-1,-0.2,299.9,308.1
2018,10,5,19:00,UTC,-1,-0.2,311.1,314.6
2018,10,5,20:00,UTC,-1,-0.1,308.1,314.6
2018,10,5,21:00,UTC,-0.8,0.2,303,312.5
2018,10,5,22:00,UTC,-0.7,0.2,308,313.2
2018,10,5,23:00,UTC,-0.5,0.5,306.2,311.4
2018,10,6,00:00,UTC,0,0.6,306.7,311.1
2018,10,6,01:00,UTC,-1,0.1,302.7,308.6
2018,10,6,02:00,UTC,-1.6,-1,278,302.4
2018,10,6,03:00,UTC,-1.2,-0.4,299.4,304.9
2018,10,6,04:00,UTC,-0.6,-0.1,300.8,305.6
2018,10,6,05:00,UTC,7.1,7.6,301.4,307.3
2018,10,6,06:00,UTC,30.8,31.5,303.1,308.2
2018,10,6,07:00,UTC,93,93.6,303.9,311
2018,10,6,08:00,UTC,113,114.4,303.3,312.7
2018,10,6,09:00,UTC,117.4,118.5,300.6,312.1
2018,10,6,10:00,UTC,115.4,116.5,302.6,312.6
2018,10,6,11:00,UTC,129.2,130.2,299.2,313
2018,10,6,12:00,UTC,83.4,84.3,304.3,312.9
2018,10,6,13:00,UTC,59.6,60.2,301.7,310.7
2018,10,6,14:00,UTC,38.3,38.8,300.6,310.2
2018,10,6,15:00,UTC,5.7,6.1,300.8,308.7
2018,10,6,16:00,UTC,-0.8,-0.2,298.1,306.5
2018,10,6,17:00,UTC,-0.6,0.1,301.9,308.3
2018,10,6,18:00,UTC,-1.4,-0.9,283.1,299.8
2018,10,6,19:00,UTC,-1.2,-0.5,285.4,302.2
2018,10,6,20:00,UTC,-1.5,-0.8,281.9,302.2
2018,10,6,21:00,UTC,-1.9,-1.3,252.9,285
2018,10,6,22:00,UTC,-2.2,-1.4,224.4,276.3
2018,10,6,23:00,UTC,-2.6,-1.9,215.8,261.2
2018,10,7,00:00,UTC,-2.6,-1.7,212.4,260.9
2018,10,7,01:00,UTC,-2.5,-1.8,212.1,254.9
2018,10,7,02:00,UTC,-2.1,-1.5,211.6,249.3
2018,10,7,03:00,UTC,-2.3,-1.5,209.9,247
2018,10,7,04:00,UTC,-1.9,-1.2,208.6,243.4
2018,10,7,05:00,UTC,7.5,12.8,206.7,243.5
2018,10,7,06:00,UTC,24.7,82.4,206.8,245.7
2018,10,7,07:00,UTC,36.5,163.4,208.2,251.8
2018,10,7,08:00,UTC,43.6,232.4,210.6,272.6
2018,10,7,09:00,UTC,47.4,275.4,214,282.4
2018,10,7,10:00,UTC,47.8,290.7,217.9,299.4
2018,10,7,11:00,UTC,45.5,273.6,220.4,301.4
2018,10,7,12:00,UTC,41.3,228.9,221.8,301
2018,10,7,13:00,UTC,34.5,162.4,223.4,292.5
2018,10,7,14:00,UTC,23.8,81.5,224.5,286.4
2018,10,7,15:00,UTC,6.8,11.9,224.1,279.9
2018,10,7,16:00,UTC,-2.4,-1.7,223.1,269.1
2018,10,7,17:00,UTC,-2.2,-1.3,223.2,265.5
2018,10,7,18:00,UTC,-1.7,-1,223.2,259.1
2018,10,7,19:00,UTC,-2.5,-2,222.3,255.3
2018,10,7,20:00,UTC,-2.1,-1.4,220.9,257
2018,10,7,21:00,UTC,-3.4,-2.5,218.4,252.2
2018,10,7,22:00,UTC,-2.2,-1.1,216.6,250.6
2018,10,7,23:00,UTC,-2.3,-2.1,215.7,250.5
2018,10,8,00:00,UTC,-2.6,-1.6,212.3,247.3
2018,10,8,01:00,UTC,-2.5,-1.8,213.9,248.8
2018,10,8,02:00,UTC,-1.4,-1.1,214.7,249.5
2018,10,8,03:00,UTC,-1.8,-1.4,211.8,248.9
2018,10,8,04:00,UTC,-1.8,-1.2,210.7,254.9
2018,10,8,05:00,UTC,8.8,12.6,211.1,258.1
2018,10,8,06:00,UTC,39.1,44.1,215.6,277.6
2018,10,8,07:00,UTC,61.1,157.1,218.1,287.1
2018,10,8,08:00,UTC,41,225.2,217.2,298.6
2018,10,8,09:00,UTC,,,,
2018,10,8,10:00,UTC,152,237,241.7,310.2
2018,10,8,11:00,UTC,207.2,208.5,290.9,317.8
2018,10,8,12:00,UTC,85.7,91.6,276.2,317.6
2018,10,8,13:00,UTC,54.7,55.6,310.9,318.1
2018,10,8,14:00,UTC,24,24.7,310.3,318
2018,10,8,15:00,UTC,0.4,1.3,317.7,317.3
2018,10,8,16:00,UTC,-2.4,-2,318.2,317.3
2018,10,8,17:00,UTC,-1.6,-1,320.9,317.5
2018,10,8,18:00,UTC,-1.1,-0.6,319.6,317.3
2018,10,8,19:00,UTC,-1.5,-0.6,319.9,317.2
2018,10,8,20:00,UTC,-1.5,-0.8,287,317.1
2018,10,8,21:00,UTC,-1.4,-0.7,297.5,317.4
2018,10,8,22:00,UTC,-1.2,-0.3,314.1,317.9
2018,10,8,23:00,UTC,-1,-0.4,271.6,317.4
2018,10,9,00:00,UTC,-1.7,-1.1,250.7,313.5
2018,10,9,01:00,UTC,-1.8,-1.3,257.1,313.3
2018,10,9,02:00,UTC,-1.8,-1.2,237.8,312.3
2018,10,9,03:00,UTC,-1.8,-1.5,266.4,310.8
2018,10,9,04:00,UTC,-1.6,-1.1,247.1,308
2018,10,9,05:00,UTC,5,5.6,256.8,310.2
2018,10,9,06:00,UTC,38.8,39.2,253.7,311
2018,10,9,07:00,UTC,71.3,167.9,244.5,312.8
2018,10,9,08:00,UTC,88.5,159.3,250.5,320.6
2018,10,9,09:00,UTC,139.7,164.4,285.7,321.6
2018,10,9,10:00,UTC,61.4,277.6,245.5,325.2
2018,10,9,11:00,UTC,56.1,247.9,247.9,328.1
2018,10,9,12:00,UTC,81.4,251.9,256.6,330.4
2018,10,9,13:00,UTC,72.8,171.1,259.7,330
2018,10,9,14:00,UTC,47.9,84.1,273.2,327.7
