Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC)
2000,1,1,00:00,UTC,1,43,-12,-10.6,-17.9
2000,1,2,00:00,UTC,3.3,44,-9.5,-6.1,-12.1
2000,1,3,00:00,UTC,0.6,44,-5.3,-4.3,-6.1
2000,1,4,00:00,UTC,2.5,44,-9.2,-5.9,-11.1
2000,1,5,00:00,UTC,0.2,45,-15.2,-11.1,-20.6
2000,1,6,00:00,UTC,5.1,45,-10.5,-8.9,-17.1
2000,1,7,00:00,UTC,1.2,45,-1.1,0.3,-9.5
2000,1,8,00:00,UTC,10,46,-1.3,0.7,-3
2000,1,9,00:00,UTC,0,56,-0.9,0.7,-1.6
2000,1,10,00:00,UTC,0.2,54,-7,-1.4,-15.1
2000,1,11,00:00,UTC,1,54,-6.4,-2.6,-19.3
2000,1,12,00:00,UTC,0.9,53,-5.8,-2.9,-9.5
2000,1,13,00:00,UTC,-1,54,-7.4,-3.5,-9.5
2000,1,14,00:00,UTC,0.4,53,-16.4,-9.1,-23.1
2000,1,15,00:00,UTC,-1,53,-16.8,-10.1,-21.1
2000,1,16,00:00,UTC,6.7,53,-13,-6.9,-24
2000,1,17,00:00,UTC,0.4,55,-8.8,-6.9,-13.5
2000,1,18,00:00,UTC,0.8,55,-15.5,-7.2,-20.1
2000,1,19,00:00,UTC,0.4,56,-19.2,-12.9,-25.1
2000,1,20,00:00,UTC,0.4,56,-24.9,-12.1,-32.5
2000,1,21,00:00,UTC,-1,55,-16.2,-11.2,-20.6
2000,1,22,00:00,UTC,0.3,55,-23,-13.3,-30.8
2000,1,23,00:00,UTC,-1,55,-20.2,-11.4,-28.9
2000,1,24,00:00,UTC,3,55,-26,-23,-29.1
2000,1,25,00:00,UTC,3.2,57,-9.5,-6.2,-27.3
2000,1,26,00:00,UTC,0.5,56,-3.7,-2.3,-6.3
2000,1,27,00:00,UTC,-1,58,-12.8,-4.1,-18.6
2000,1,28,00:00,UTC,-1,58,-21.5,-14.4,-27.5
2000,1,29,00:00,UTC,4.5,58,-25.2,-17.7,-32.7
2000,1,30,00:00,UTC,9.1,56,-6.1,-1,-17.7
2000,1,31,00:00,UTC,1.2,66,-8.6,-1.1,-16.5
2000,2,1,00:00,UTC,0.4,79,-15,-5.2,-26.9
2000,2,2,00:00,UTC,2.6,80,-12.7,-5.2,-20.5
2000,2,3,00:00,UTC,-1,82,-9.9,-7.2,-15.5
2000,2,4,00:00,UTC,0.5,81,-15.8,-9.9,-27.2
2000,2,5,00:00,UTC,-1,81,-15.5,-8.1,-21.7
2000,2,6,00:00,UTC,12,80,-8.8,-5.5,-17.7
2000,2,7,00:00,UTC,2.5,87,-8.6,-5.5,-14.6
2000,2,8,00:00,UTC,3,88,-2.2,-0.1,-6.3
2000,2,9,00:00,UTC,-1,89,-13.2,-4.9,-19.8
2000,2,10,00:00,UTC,3.3,89,-11.8,-4.7,-19.2
2000,2,11,00:00,UTC,0,87,-0.6,0.7,-4.7
2000,2,12,00:00,UTC,1.4,87,-4.7,-1.9,-10.6
2000,2,13,00:00,UTC,1.6,86,-0.6,0.5,-8.3
2000,2,14,00:00,UTC,1.1,85,-2,-0.8,-3.1
2000,2,15,00:00,UTC,0.2,83,-4.7,-3.1,-5.6
2000,2,16,00:00,UTC,-1,82,-7.2,-5.5,-8.5
2000,2,17,00:00,UTC,0.7,82,-9.2,-7.5,-10.9
2000,2,18,00:00,UTC,0.5,82,-9.8,-7.1,-13.5
2000,2,19,00:00,UTC,0.7,82,-9.7,-7.8,-12.5
2000,2,20,00:00,UTC,0,83,-15.5,-8.8,-19.6
2000,2,21,00:00,UTC,0.1,83,-11.8,-7.3,-21.6
2000,2,22,00:00,UTC,0.4,83,-13.7,-7.1,-18.7
2000,2,23,00:00,UTC,0.5,82,-21.8,-14.5,-28
2000,2,24,00:00,UTC,0.2,85,-16.7,-11.8,-26.1
2000,2,25,00:00,UTC,-1,84,-16.1,-13.1,-20.5
2000,2,26,00:00,UTC,1.7,83,-20.1,-12.2,-29
2000,2,27,00:00,UTC,5.6,86,-9.1,-7.2,-12.2
2000,2,28,00:00,UTC,3.7,88,-11.4,-8.9,-14.8
2000,2,29,00:00,UTC,4.6,89,-13.2,-12.1,-14.7
2000,3,1,00:00,UTC,11,95,-14.4,-13.1,-15
2000,3,2,00:00,UTC,5.1,100,-12.3,-11.3,-14.6
2000,3,3,00:00,UTC,2.9,98,-9.9,-7.2,-11.8
2000,3,4,00:00,UTC,2.9,101,-8.3,-5.6,-13.6
2000,3,5,00:00,UTC,-1,102,-12.6,-7.5,-20.9
2000,3,6,00:00,UTC,2.2,101,-19.6,-9.7,-31.7
2000,3,7,00:00,UTC,1.1,100,-8.7,-6.1,-10.1
2000,3,8,00:00,UTC,0.7,99,-6.4,-4.1,-10.1
2000,3,9,00:00,UTC,0.4,98,-5,-3.7,-7
2000,3,10,00:00,UTC,0.3,98,-7.9,-4.5,-10.5
2000,3,11,00:00,UTC,0,97,-8,-5.8,-12.7
2000,3,12,00:00,UTC,-1,96,-10.8,-7.7,-17.8
2000,3,13,00:00,UTC,1.5,96,-5.3,0.3,-15.3
2000,3,14,00:00,UTC,0.5,95,-3.9,0.8,-9.3
2000,3,15,00:00,UTC,2,95,-6.6,-3.4,-11.6
2000,3,16,00:00,UTC,-1,96,-8.6,-4.1,-17.6
2000,3,17,00:00,UTC,0.1,95,-19.2,-8.6,-24.8
2000,3,18,00:00,UTC,2.2,95,-3.5,-2.1,-15.1
2000,3,19,00:00,UTC,3.3,97,-2.7,0,-7.8
2000,3,20,00:00,UTC,0,92,1.4,3.4,-2.3
2000,3,21,00:00,UTC,-1,92,-3.3,-1.1,-6.6
2000,3,22,00:00,UTC,-1,92,-4.7,-0.8,-8.6
2000,3,23,00:00,UTC,0.1,92,-6.2,-0.6,-11.1
2000,3,24,00:00,UTC,0.3,92,-3.4,-1.8,-6
2000,3,25,00:00,UTC,0.3,92,-7.3,-3.5,-14.5
2000,3,26,00:00,UTC,-1,91,-11.3,-6.3,-14.6
2000,3,27,00:00,UTC,-1,91,-10.3,-1.6,-23.3
2000,3,28,00:00,UTC,0,90,-4.3,-1.7,-10
2000,3,29,00:00,UTC,4.6,90,-1,1.7,-5.2
2000,3,30,00:00,UTC,0,88,3.9,6.8,1.7
2000,3,31,00:00,UTC,3.3,84,-4.3,2,-8.1
2000,4,1,00:00,UTC,8,88,-8.8,-5.7,-10.1
2000,4,2,00:00,UTC,-1,94,-7.5,-6.4,-9.6
2000,4,3,00:00,UTC,1.2,90,-14.4,-5.6,-26.6
2000,4,4,00:00,UTC,19.7,91,-6.2,-2.1,-15.8
2000,4,5,00:00,UTC,7.3,110,-0.4,0.4,-2.3
2000,4,6,00:00,UTC,1.2,117,-3.9,0.4,-7.7
2000,4,7,00:00,UTC,-1,115,-3.2,0.5,-7.2
2000,4,8,00:00,UTC,-1,113,-3.8,4,-16.6
2000,4,9,00:00,UTC,1.1,110,0.5,4.7,-3.6
2000,4,10,00:00,UTC,0.4,106,2,5.9,-0.3
2000,4,11,00:00,UTC,2.4,104,0.4,5.7,-7.6
2000,4,12,00:00,UTC,5.7,104,0.1,3.4,-1.5
